




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	OLqNSCI (Mus musculus )OLqNSCII (Mus musculus )OLpNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	OLqNSCI (348)	OLqNSCI (expected)	OLqNSCI (over/under)	OLqNSCI (fold Enrichment)	OLqNSCI (raw P-value)	OLqNSCI (FDR)	OLqNSCII (188)	OLqNSCII (expected)	OLqNSCII (over/under)	OLqNSCII (fold Enrichment)	OLqNSCII (raw P-value)	OLqNSCII (FDR)	OLpNSC (526)	OLpNSC (expected)	OLpNSC (over/under)	OLpNSC (fold Enrichment)	OLpNSC (raw P-value)	OLpNSC (FDR)
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	15	0	.23	-	 < 0.01	1.00E00	2.04E00	0	.13	-	 < 0.01	1.00E00	3.39E00	0	.35	-	 < 0.01	1.00E00	1.48E00
SNARE complex (GO:0031201)	35	0	.55	-	 < 0.01	1.00E00	1.11E00	0	.30	-	 < 0.01	1.00E00	1.73E00	3	.83	+	3.63	5.67E-02	8.19E-01
ciliary plasm (GO:0097014)	42	0	.66	-	 < 0.01	1.00E00	1.28E00	0	.35	-	 < 0.01	1.00E00	1.91E00	0	.99	-	 < 0.01	1.00E00	1.87E00
MCM core complex (GO:0097373)	24	0	.37	-	 < 0.01	1.00E00	1.14E00	0	.20	-	 < 0.01	1.00E00	1.15E00	0	.57	-	 < 0.01	1.00E00	1.23E00
RNA polymerase complex (GO:0030880)	2	0	.03	-	 < 0.01	1.00E00	1.12E00	0	.02	-	 < 0.01	1.00E00	1.11E00	0	.05	-	 < 0.01	1.00E00	1.07E00
COPI vesicle coat (GO:0030126)	11	0	.17	-	 < 0.01	1.00E00	2.29E00	0	.09	-	 < 0.01	1.00E00	2.32E00	0	.26	-	 < 0.01	1.00E00	1.33E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	6	0	.09	-	 < 0.01	1.00E00	2.42E00	0	.05	-	 < 0.01	1.00E00	3.05E00	0	.14	-	 < 0.01	1.00E00	1.81E00
protein-DNA complex (GO:0032993)	29	0	.45	-	 < 0.01	1.00E00	1.16E00	0	.24	-	 < 0.01	1.00E00	1.81E00	0	.68	-	 < 0.01	1.00E00	1.45E00
intracellular organelle lumen (GO:0070013)	5	0	.08	-	 < 0.01	1.00E00	1.43E00	0	.04	-	 < 0.01	1.00E00	1.68E00	0	.12	-	 < 0.01	1.00E00	1.16E00
adherens junction (GO:0005912)	36	0	.56	-	 < 0.01	1.00E00	1.09E00	0	.30	-	 < 0.01	1.00E00	1.53E00	0	.85	-	 < 0.01	1.00E00	1.72E00
axonemal microtubule (GO:0005879)	19	0	.30	-	 < 0.01	1.00E00	1.10E00	0	.16	-	 < 0.01	1.00E00	1.17E00	0	.45	-	 < 0.01	1.00E00	1.03E00
spindle microtubule (GO:0005876)	12	0	.19	-	 < 0.01	1.00E00	1.67E00	0	.10	-	 < 0.01	1.00E00	2.50E00	0	.28	-	 < 0.01	1.00E00	1.38E00
supramolecular polymer (GO:0099081)	54	0	.84	-	 < 0.01	1.00E00	1.32E00	0	.46	-	 < 0.01	1.00E00	3.76E00	3	1.27	+	2.35	1.44E-01	1.19E00
supramolecular complex (GO:0099080)	54	0	.84	-	 < 0.01	1.00E00	1.32E00	0	.46	-	 < 0.01	1.00E00	3.73E00	3	1.27	+	2.35	1.44E-01	1.17E00
DNA polymerase complex (GO:0042575)	16	0	.25	-	 < 0.01	1.00E00	1.38E00	0	.13	-	 < 0.01	1.00E00	1.28E00	0	.38	-	 < 0.01	1.00E00	1.09E00
cell-cell contact zone (GO:0044291)	5	0	.08	-	 < 0.01	1.00E00	1.43E00	0	.04	-	 < 0.01	1.00E00	1.68E00	0	.12	-	 < 0.01	1.00E00	1.16E00
ciliary basal body (GO:0036064)	27	0	.42	-	 < 0.01	1.00E00	1.29E00	0	.23	-	 < 0.01	1.00E00	2.21E00	2	.64	+	3.14	1.43E-01	1.21E00
polymeric cytoskeletal fiber (GO:0099513)	9	0	.14	-	 < 0.01	1.00E00	1.77E00	0	.08	-	 < 0.01	1.00E00	1.60E00	0	.21	-	 < 0.01	1.00E00	1.58E00
supramolecular fiber (GO:0099512)	54	0	.84	-	 < 0.01	1.00E00	1.31E00	0	.46	-	 < 0.01	1.00E00	3.70E00	3	1.27	+	2.35	1.44E-01	1.15E00
retromer complex (GO:0030904)	3	0	.05	-	 < 0.01	1.00E00	2.65E00	0	.03	-	 < 0.01	1.00E00	2.89E00	0	.07	-	 < 0.01	1.00E00	1.95E00
presynapse (GO:0098793)	107	0	1.67	-	 < 0.01	4.17E-01	1.58E00	0	.90	-	 < 0.01	1.00E00	1.00E00	4	2.52	+	1.58	3.28E-01	1.22E00
clathrin-coated pit (GO:0005905)	5	0	.08	-	 < 0.01	1.00E00	1.42E00	0	.04	-	 < 0.01	1.00E00	1.67E00	0	.12	-	 < 0.01	1.00E00	1.15E00
axon part (GO:0033267)	32	0	.50	-	 < 0.01	1.00E00	1.05E00	0	.27	-	 < 0.01	1.00E00	1.03E00	0	.75	-	 < 0.01	1.00E00	1.11E00
ruffle membrane (GO:0032587)	10	0	.16	-	 < 0.01	1.00E00	1.91E00	0	.08	-	 < 0.01	1.00E00	2.05E00	0	.24	-	 < 0.01	1.00E00	1.28E00
brush border (GO:0005903)	6	0	.09	-	 < 0.01	1.00E00	2.41E00	0	.05	-	 < 0.01	1.00E00	3.03E00	0	.14	-	 < 0.01	1.00E00	1.80E00
microvillus (GO:0005902)	10	0	.16	-	 < 0.01	1.00E00	1.90E00	0	.08	-	 < 0.01	1.00E00	2.04E00	0	.24	-	 < 0.01	1.00E00	1.28E00
caveola (GO:0005901)	5	0	.08	-	 < 0.01	1.00E00	1.42E00	0	.04	-	 < 0.01	1.00E00	1.67E00	1	.12	+	8.48	1.31E-01	1.17E00
cytoplasmic dynein complex (GO:0005868)	11	0	.17	-	 < 0.01	1.00E00	2.27E00	0	.09	-	 < 0.01	1.00E00	2.31E00	0	.26	-	 < 0.01	1.00E00	1.32E00
cortical cytoskeleton (GO:0030863)	5	0	.08	-	 < 0.01	1.00E00	1.41E00	0	.04	-	 < 0.01	1.00E00	1.66E00	0	.12	-	 < 0.01	1.00E00	1.15E00
Fanconi anaemia nuclear complex (GO:0043240)	7	0	.11	-	 < 0.01	1.00E00	1.19E00	0	.06	-	 < 0.01	1.00E00	1.23E00	0	.17	-	 < 0.01	1.00E00	1.13E00
secretory vesicle (GO:0099503)	16	0	.25	-	 < 0.01	1.00E00	1.37E00	0	.13	-	 < 0.01	1.00E00	1.28E00	1	.38	+	2.65	3.27E-01	1.22E00
ubiquitin ligase complex (GO:0000151)	108	0	1.69	-	 < 0.01	4.18E-01	1.57E00	0	.91	-	 < 0.01	1.00E00	1.01E00	1	2.55	-	.39	5.24E-01	1.50E00
cytoplasmic stress granule (GO:0010494)	9	0	.14	-	 < 0.01	1.00E00	1.76E00	0	.08	-	 < 0.01	1.00E00	1.59E00	0	.21	-	 < 0.01	1.00E00	1.57E00
TORC2 complex (GO:0031932)	9	0	.14	-	 < 0.01	1.00E00	1.76E00	0	.08	-	 < 0.01	1.00E00	1.59E00	0	.21	-	 < 0.01	1.00E00	1.57E00
axonemal dynein complex (GO:0005858)	25	0	.39	-	 < 0.01	1.00E00	1.03E00	0	.21	-	 < 0.01	1.00E00	1.31E00	0	.59	-	 < 0.01	1.00E00	1.44E00
condensed chromosome outer kinetochore (GO:0000940)	1	0	.02	-	 < 0.01	1.00E00	1.71E00	0	.01	-	 < 0.01	1.00E00	1.87E00	0	.02	-	 < 0.01	1.00E00	1.76E00
oligosaccharyltransferase complex (GO:0008250)	4	0	.06	-	 < 0.01	1.00E00	1.60E00	0	.03	-	 < 0.01	1.00E00	1.33E00	1	.09	+	10.60	1.10E-01	1.12E00
nuclear replication fork (GO:0043596)	20	0	.31	-	 < 0.01	1.00E00	1.26E00	0	.17	-	 < 0.01	1.00E00	1.41E00	0	.47	-	 < 0.01	1.00E00	1.42E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	12	0	.19	-	 < 0.01	1.00E00	1.66E00	0	.10	-	 < 0.01	1.00E00	2.49E00	0	.28	-	 < 0.01	1.00E00	1.37E00
MCM complex (GO:0042555)	24	0	.37	-	 < 0.01	1.00E00	1.14E00	0	.20	-	 < 0.01	1.00E00	1.14E00	0	.57	-	 < 0.01	1.00E00	1.23E00
cytosolic small ribosomal subunit (GO:0022627)	39	0	.61	-	 < 0.01	1.00E00	1.05E00	0	.33	-	 < 0.01	1.00E00	1.13E00	0	.92	-	 < 0.01	1.00E00	1.70E00
cytosolic ribosome (GO:0022626)	117	0	1.83	-	 < 0.01	4.31E-01	1.60E00	0	.99	-	 < 0.01	1.00E00	1.01E00	2	2.76	-	.72	1.00E00	1.98E00
cytosolic large ribosomal subunit (GO:0022625)	75	0	1.17	-	 < 0.01	6.33E-01	1.94E00	0	.63	-	 < 0.01	1.00E00	3.93E00	2	1.77	+	1.13	6.98E-01	1.60E00
dendritic spine (GO:0043197)	28	0	.44	-	 < 0.01	1.00E00	1.01E00	1	.24	+	4.24	2.16E-01	2.31E00	0	.66	-	 < 0.01	1.00E00	1.00E00
proteasome accessory complex (GO:0022624)	20	0	.31	-	 < 0.01	1.00E00	1.25E00	0	.17	-	 < 0.01	1.00E00	1.40E00	0	.47	-	 < 0.01	1.00E00	1.41E00
terminal bouton (GO:0043195)	16	0	.25	-	 < 0.01	1.00E00	1.37E00	0	.13	-	 < 0.01	1.00E00	1.28E00	0	.38	-	 < 0.01	1.00E00	1.09E00
endoplasmic reticulum tubular network (GO:0071782)	4	0	.06	-	 < 0.01	1.00E00	1.59E00	0	.03	-	 < 0.01	1.00E00	1.33E00	0	.09	-	 < 0.01	1.00E00	1.20E00
axon initial segment (GO:0043194)	2	0	.03	-	 < 0.01	1.00E00	1.12E00	0	.02	-	 < 0.01	1.00E00	1.11E00	0	.05	-	 < 0.01	1.00E00	1.06E00
neuron projection terminus (GO:0044306)	1	0	.02	-	 < 0.01	1.00E00	1.70E00	0	.01	-	 < 0.01	1.00E00	1.87E00	0	.02	-	 < 0.01	1.00E00	1.76E00
mRNA cleavage factor complex (GO:0005849)	10	0	.16	-	 < 0.01	1.00E00	1.89E00	0	.08	-	 < 0.01	1.00E00	2.03E00	0	.24	-	 < 0.01	1.00E00	1.28E00
non-motile cilium (GO:0097730)	10	0	.16	-	 < 0.01	1.00E00	1.88E00	0	.08	-	 < 0.01	1.00E00	2.02E00	0	.24	-	 < 0.01	1.00E00	1.27E00
DUBm complex (GO:0071819)	10	0	.16	-	 < 0.01	1.00E00	1.87E00	0	.08	-	 < 0.01	1.00E00	2.01E00	0	.24	-	 < 0.01	1.00E00	1.27E00
gamma-tubulin complex (GO:0000930)	9	0	.14	-	 < 0.01	1.00E00	1.75E00	0	.08	-	 < 0.01	1.00E00	1.58E00	0	.21	-	 < 0.01	1.00E00	1.56E00
polysome (GO:0005844)	11	0	.17	-	 < 0.01	1.00E00	2.26E00	0	.09	-	 < 0.01	1.00E00	2.29E00	1	.26	+	3.85	2.44E-01	1.27E00
ribosome (GO:0005840)	17	0	.27	-	 < 0.01	1.00E00	1.06E00	1	.14	+	6.98	1.40E-01	2.10E00	0	.40	-	 < 0.01	1.00E00	1.05E00
Golgi cis cisterna (GO:0000137)	1	0	.02	-	 < 0.01	1.00E00	1.70E00	0	.01	-	 < 0.01	1.00E00	1.86E00	0	.02	-	 < 0.01	1.00E00	1.75E00
proton-transporting two-sector ATPase complex (GO:0016469)	29	0	.45	-	 < 0.01	1.00E00	1.16E00	0	.24	-	 < 0.01	1.00E00	1.81E00	3	.68	+	4.38	3.68E-02	6.87E-01
respiratory chain complex (GO:0098803)	3	0	.05	-	 < 0.01	1.00E00	2.64E00	0	.03	-	 < 0.01	1.00E00	2.87E00	0	.07	-	 < 0.01	1.00E00	1.94E00
inner mitochondrial membrane protein complex (GO:0098800)	26	0	.41	-	 < 0.01	1.00E00	1.30E00	0	.22	-	 < 0.01	1.00E00	1.43E00	0	.61	-	 < 0.01	1.00E00	1.51E00
post-mRNA release spliceosomal complex (GO:0071014)	9	0	.14	-	 < 0.01	1.00E00	1.74E00	0	.08	-	 < 0.01	1.00E00	1.58E00	0	.21	-	 < 0.01	1.00E00	1.56E00
catalytic step 2 spliceosome (GO:0071013)	43	0	.67	-	 < 0.01	1.00E00	1.57E00	0	.36	-	 < 0.01	1.00E00	2.57E00	0	1.01	-	 < 0.01	6.27E-01	1.61E00
PcG protein complex (GO:0031519)	18	0	.28	-	 < 0.01	1.00E00	1.04E00	0	.15	-	 < 0.01	1.00E00	1.26E00	2	.42	+	4.71	7.67E-02	9.04E-01
proteasome core complex (GO:0005839)	20	0	.31	-	 < 0.01	1.00E00	1.25E00	0	.17	-	 < 0.01	1.00E00	1.40E00	0	.47	-	 < 0.01	1.00E00	1.41E00
spindle pole (GO:0000922)	19	0	.30	-	 < 0.01	1.00E00	1.10E00	0	.16	-	 < 0.01	1.00E00	1.17E00	0	.45	-	 < 0.01	1.00E00	1.03E00
proteasome regulatory particle (GO:0005838)	20	0	.31	-	 < 0.01	1.00E00	1.25E00	0	.17	-	 < 0.01	1.00E00	1.40E00	0	.47	-	 < 0.01	1.00E00	1.40E00
motile cilium (GO:0031514)	32	0	.50	-	 < 0.01	1.00E00	1.05E00	0	.27	-	 < 0.01	1.00E00	1.03E00	1	.75	+	1.32	5.37E-01	1.51E00
chaperonin-containing T-complex (GO:0005832)	8	0	.12	-	 < 0.01	1.00E00	1.51E00	0	.07	-	 < 0.01	1.00E00	1.48E00	0	.19	-	 < 0.01	1.00E00	1.61E00
Golgi-associated vesicle (GO:0005798)	15	0	.23	-	 < 0.01	1.00E00	2.03E00	0	.13	-	 < 0.01	1.00E00	3.34E00	0	.35	-	 < 0.01	1.00E00	1.47E00
cell division site (GO:0032153)	34	0	.53	-	 < 0.01	1.00E00	1.04E00	0	.29	-	 < 0.01	1.00E00	1.19E00	1	.80	+	1.25	5.58E-01	1.52E00
calcium channel complex (GO:0034704)	6	0	.09	-	 < 0.01	1.00E00	2.40E00	0	.05	-	 < 0.01	1.00E00	3.01E00	0	.14	-	 < 0.01	1.00E00	1.79E00
Golgi stack (GO:0005795)	10	0	.16	-	 < 0.01	1.00E00	1.87E00	0	.08	-	 < 0.01	1.00E00	2.00E00	0	.24	-	 < 0.01	1.00E00	1.27E00
rough endoplasmic reticulum (GO:0005791)	11	0	.17	-	 < 0.01	1.00E00	2.25E00	0	.09	-	 < 0.01	1.00E00	2.27E00	0	.26	-	 < 0.01	1.00E00	1.31E00
SAGA complex (GO:0000124)	10	0	.16	-	 < 0.01	1.00E00	1.86E00	0	.08	-	 < 0.01	1.00E00	1.99E00	0	.24	-	 < 0.01	1.00E00	1.26E00
histone acetyltransferase complex (GO:0000123)	40	0	.62	-	 < 0.01	1.00E00	1.08E00	0	.34	-	 < 0.01	1.00E00	1.30E00	1	.94	+	1.06	6.16E-01	1.59E00
U2-type prespliceosome (GO:0071004)	13	0	.20	-	 < 0.01	1.00E00	2.12E00	1	.11	+	9.12	1.11E-01	2.07E00	1	.31	+	3.26	2.79E-01	1.21E00
nuclear replisome (GO:0043601)	10	0	.16	-	 < 0.01	1.00E00	1.85E00	0	.08	-	 < 0.01	1.00E00	1.98E00	0	.24	-	 < 0.01	1.00E00	1.26E00
actomyosin contractile ring (GO:0005826)	3	0	.05	-	 < 0.01	1.00E00	2.62E00	0	.03	-	 < 0.01	1.00E00	2.85E00	0	.07	-	 < 0.01	1.00E00	1.93E00
mannosyltransferase complex (GO:0031501)	3	0	.05	-	 < 0.01	1.00E00	2.60E00	0	.03	-	 < 0.01	1.00E00	2.84E00	0	.07	-	 < 0.01	1.00E00	1.92E00
growth cone (GO:0030426)	5	0	.08	-	 < 0.01	1.00E00	1.41E00	0	.04	-	 < 0.01	1.00E00	1.65E00	0	.12	-	 < 0.01	1.00E00	1.15E00
histone deacetylase complex (GO:0000118)	13	0	.20	-	 < 0.01	1.00E00	2.11E00	0	.11	-	 < 0.01	1.00E00	1.74E00	2	.31	+	6.52	4.57E-02	7.87E-01
cullin-RING ubiquitin ligase complex (GO:0031461)	61	0	.95	-	 < 0.01	1.00E00	2.09E00	0	.51	-	 < 0.01	1.00E00	1.92E00	1	1.44	-	.69	1.00E00	2.07E00
COP9 signalosome (GO:0008180)	11	0	.17	-	 < 0.01	1.00E00	2.24E00	0	.09	-	 < 0.01	1.00E00	2.26E00	1	.26	+	3.85	2.44E-01	1.26E00
perinuclear region of cytoplasm (GO:0048471)	20	0	.31	-	 < 0.01	1.00E00	1.24E00	0	.17	-	 < 0.01	1.00E00	1.39E00	0	.47	-	 < 0.01	1.00E00	1.40E00
lamellipodium (GO:0030027)	6	0	.09	-	 < 0.01	1.00E00	2.38E00	0	.05	-	 < 0.01	1.00E00	2.99E00	0	.14	-	 < 0.01	1.00E00	1.78E00
spindle (GO:0005819)	45	0	.70	-	 < 0.01	1.00E00	1.31E00	0	.38	-	 < 0.01	1.00E00	1.79E00	2	1.06	+	1.88	2.95E-01	1.20E00
respiratory chain complex IV (GO:0045277)	4	0	.06	-	 < 0.01	1.00E00	1.59E00	0	.03	-	 < 0.01	1.00E00	1.33E00	1	.09	+	10.60	1.10E-01	1.10E00
tethering complex (GO:0099023)	17	0	.27	-	 < 0.01	1.00E00	1.06E00	0	.14	-	 < 0.01	1.00E00	1.05E00	1	.40	+	2.49	3.43E-01	1.22E00
respiratory chain complex II (GO:0045273)	3	0	.05	-	 < 0.01	1.00E00	2.59E00	0	.03	-	 < 0.01	1.00E00	2.82E00	0	.07	-	 < 0.01	1.00E00	1.91E00
plasma membrane respiratory chain complex I (GO:0045272)	3	0	.05	-	 < 0.01	1.00E00	2.57E00	0	.03	-	 < 0.01	1.00E00	2.80E00	0	.07	-	 < 0.01	1.00E00	1.91E00
peroxisomal membrane (GO:0005778)	16	0	.25	-	 < 0.01	1.00E00	1.37E00	0	.13	-	 < 0.01	1.00E00	1.27E00	2	.38	+	5.30	6.36E-02	8.38E-01
proteasome complex (GO:0000502)	44	0	.69	-	 < 0.01	1.00E00	1.97E00	0	.37	-	 < 0.01	1.00E00	2.12E00	0	1.04	-	 < 0.01	6.28E-01	1.59E00
autophagosome (GO:0005776)	18	0	.28	-	 < 0.01	1.00E00	1.03E00	0	.15	-	 < 0.01	1.00E00	1.25E00	0	.42	-	 < 0.01	1.00E00	1.19E00
vacuolar membrane (GO:0005774)	30	0	.47	-	 < 0.01	1.00E00	1.22E00	0	.25	-	 < 0.01	1.00E00	2.65E00	3	.71	+	4.24	3.98E-02	7.14E-01
Golgi transport complex (GO:0017119)	7	0	.11	-	 < 0.01	1.00E00	1.19E00	0	.06	-	 < 0.01	1.00E00	1.22E00	0	.17	-	 < 0.01	1.00E00	1.12E00
Z disc (GO:0030018)	27	0	.42	-	 < 0.01	1.00E00	1.29E00	0	.23	-	 < 0.01	1.00E00	2.19E00	0	.64	-	 < 0.01	1.00E00	1.18E00
sarcomere (GO:0030017)	46	0	.72	-	 < 0.01	1.00E00	1.79E00	0	.39	-	 < 0.01	1.00E00	2.42E00	0	1.09	-	 < 0.01	6.28E-01	1.57E00
myofibril (GO:0030016)	48	0	.75	-	 < 0.01	1.00E00	1.80E00	0	.40	-	 < 0.01	1.00E00	1.84E00	2	1.13	+	1.77	3.21E-01	1.22E00
CCR4-NOT complex (GO:0030014)	7	0	.11	-	 < 0.01	1.00E00	1.18E00	0	.06	-	 < 0.01	1.00E00	1.22E00	0	.17	-	 < 0.01	1.00E00	1.12E00
melanosome (GO:0042470)	9	0	.14	-	 < 0.01	1.00E00	1.74E00	0	.08	-	 < 0.01	1.00E00	1.57E00	2	.21	+	9.42	2.54E-02	5.99E-01
DNA helicase complex (GO:0033202)	15	0	.23	-	 < 0.01	1.00E00	2.02E00	0	.13	-	 < 0.01	1.00E00	3.32E00	0	.35	-	 < 0.01	1.00E00	1.46E00
cis-Golgi network (GO:0005801)	12	0	.19	-	 < 0.01	1.00E00	1.65E00	0	.10	-	 < 0.01	1.00E00	2.48E00	1	.28	+	3.53	2.62E-01	1.25E00
lysosomal membrane (GO:0005765)	29	0	.45	-	 < 0.01	1.00E00	1.16E00	1	.24	+	4.09	2.23E-01	2.27E00	1	.68	+	1.46	5.03E-01	1.48E00
lysosome (GO:0005764)	89	0	1.39	-	 < 0.01	6.50E-01	1.94E00	3	.75	+	4.00	4.21E-02	1.71E00	3	2.10	+	1.43	4.73E-01	1.43E00
mitochondrial small ribosomal subunit (GO:0005763)	10	0	.16	-	 < 0.01	1.00E00	1.84E00	0	.08	-	 < 0.01	1.00E00	1.97E00	0	.24	-	 < 0.01	1.00E00	1.25E00
mitochondrial large ribosomal subunit (GO:0005762)	17	0	.27	-	 < 0.01	1.00E00	1.06E00	0	.14	-	 < 0.01	1.00E00	1.05E00	1	.40	+	2.49	3.43E-01	1.21E00
mitochondrial ribosome (GO:0005761)	30	0	.47	-	 < 0.01	1.00E00	1.22E00	0	.25	-	 < 0.01	1.00E00	2.64E00	1	.71	+	1.41	5.15E-01	1.50E00
TRAPP complex (GO:0030008)	7	0	.11	-	 < 0.01	1.00E00	1.18E00	0	.06	-	 < 0.01	1.00E00	1.21E00	0	.17	-	 < 0.01	1.00E00	1.11E00
intercalated disc (GO:0014704)	3	0	.05	-	 < 0.01	1.00E00	2.56E00	0	.03	-	 < 0.01	1.00E00	2.78E00	0	.07	-	 < 0.01	1.00E00	1.90E00
nuclear pore central transport channel (GO:0044613)	12	0	.19	-	 < 0.01	1.00E00	1.65E00	0	.10	-	 < 0.01	1.00E00	2.46E00	0	.28	-	 < 0.01	1.00E00	1.37E00
proton-transporting ATP synthase complex (GO:0045259)	15	0	.23	-	 < 0.01	1.00E00	2.01E00	0	.13	-	 < 0.01	1.00E00	3.29E00	1	.35	+	2.83	3.11E-01	1.21E00
chromosomal region (GO:0098687)	20	0	.31	-	 < 0.01	1.00E00	1.24E00	0	.17	-	 < 0.01	1.00E00	1.39E00	0	.47	-	 < 0.01	1.00E00	1.40E00
mitochondrial intermembrane space (GO:0005758)	14	0	.22	-	 < 0.01	1.00E00	1.96E00	0	.12	-	 < 0.01	1.00E00	1.04E00	0	.33	-	 < 0.01	1.00E00	1.04E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	10	0	.16	-	 < 0.01	1.00E00	1.84E00	0	.08	-	 < 0.01	1.00E00	1.96E00	1	.24	+	4.24	2.26E-01	1.25E00
mitochondrial respiratory chain complex IV (GO:0005751)	7	0	.11	-	 < 0.01	1.00E00	1.18E00	0	.06	-	 < 0.01	1.00E00	1.21E00	1	.17	+	6.06	1.70E-01	1.21E00
mitochondrial respiratory chain complex III (GO:0005750)	5	0	.08	-	 < 0.01	1.00E00	1.40E00	0	.04	-	 < 0.01	1.00E00	1.65E00	0	.12	-	 < 0.01	1.00E00	1.15E00
RNA polymerase II transcription factor complex (GO:0090575)	42	0	.66	-	 < 0.01	1.00E00	1.27E00	0	.35	-	 < 0.01	1.00E00	1.90E00	2	.99	+	2.02	2.69E-01	1.23E00
transcriptional repressor complex (GO:0017053)	11	0	.17	-	 < 0.01	1.00E00	2.23E00	0	.09	-	 < 0.01	1.00E00	2.25E00	1	.26	+	3.85	2.44E-01	1.24E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	8	0	.12	-	 < 0.01	1.00E00	1.50E00	0	.07	-	 < 0.01	1.00E00	1.47E00	0	.19	-	 < 0.01	1.00E00	1.61E00
proteasome regulatory particle, base subcomplex (GO:0008540)	12	0	.19	-	 < 0.01	1.00E00	1.64E00	0	.10	-	 < 0.01	1.00E00	2.45E00	0	.28	-	 < 0.01	1.00E00	1.37E00
mitochondrial respiratory chain complex I (GO:0005747)	20	0	.31	-	 < 0.01	1.00E00	1.24E00	0	.17	-	 < 0.01	1.00E00	1.38E00	0	.47	-	 < 0.01	1.00E00	1.39E00
mitochondrial respiratory chain (GO:0005746)	36	0	.56	-	 < 0.01	1.00E00	1.08E00	0	.30	-	 < 0.01	1.00E00	1.53E00	1	.85	+	1.18	5.78E-01	1.55E00
core TFIIH complex (GO:0000439)	8	0	.12	-	 < 0.01	1.00E00	1.50E00	0	.07	-	 < 0.01	1.00E00	1.47E00	0	.19	-	 < 0.01	1.00E00	1.60E00
mitochondrial inner membrane presequence translocase complex (GO:0005744)	11	0	.17	-	 < 0.01	1.00E00	2.22E00	0	.09	-	 < 0.01	1.00E00	2.24E00	0	.26	-	 < 0.01	1.00E00	1.31E00
mitochondrial inner membrane (GO:0005743)	105	0	1.64	-	 < 0.01	4.15E-01	1.59E00	0	.89	-	 < 0.01	1.00E00	1.02E00	2	2.48	-	.81	1.00E00	2.05E00
synaptonemal complex (GO:0000795)	62	0	.97	-	 < 0.01	1.00E00	1.33E00	0	.52	-	 < 0.01	1.00E00	1.20E00	0	1.46	-	 < 0.01	4.07E-01	1.28E00
condensed nuclear chromosome (GO:0000794)	86	0	1.34	-	 < 0.01	6.45E-01	1.95E00	0	.73	-	 < 0.01	1.00E00	1.16E00	0	2.03	-	 < 0.01	2.71E-01	1.23E00
nuclear transcriptional repressor complex (GO:0090568)	6	0	.09	-	 < 0.01	1.00E00	2.37E00	0	.05	-	 < 0.01	1.00E00	2.97E00	1	.14	+	7.06	1.51E-01	1.16E00
mitochondrial outer membrane (GO:0005741)	47	0	.73	-	 < 0.01	1.00E00	1.56E00	0	.40	-	 < 0.01	1.00E00	1.52E00	2	1.11	+	1.80	3.12E-01	1.20E00
condensed chromosome (GO:0000793)	21	0	.33	-	 < 0.01	1.00E00	1.00E00	0	.18	-	 < 0.01	1.00E00	1.07E00	0	.50	-	 < 0.01	1.00E00	1.01E00
mitochondrial envelope (GO:0005740)	31	0	.48	-	 < 0.01	1.00E00	1.05E00	0	.26	-	 < 0.01	1.00E00	1.13E00	1	.73	+	1.37	5.26E-01	1.50E00
heterochromatin (GO:0000792)	4	0	.06	-	 < 0.01	1.00E00	1.58E00	0	.03	-	 < 0.01	1.00E00	1.32E00	0	.09	-	 < 0.01	1.00E00	1.20E00
presynaptic active zone (GO:0048786)	16	0	.25	-	 < 0.01	1.00E00	1.36E00	0	.13	-	 < 0.01	1.00E00	1.27E00	0	.38	-	 < 0.01	1.00E00	1.09E00
DNA-directed RNA polymerase I complex (GO:0005736)	10	0	.16	-	 < 0.01	1.00E00	1.83E00	0	.08	-	 < 0.01	1.00E00	1.96E00	0	.24	-	 < 0.01	1.00E00	1.25E00
DNA-directed RNA polymerase complex (GO:0000428)	1	0	.02	-	 < 0.01	1.00E00	1.69E00	0	.01	-	 < 0.01	1.00E00	1.85E00	0	.02	-	 < 0.01	1.00E00	1.74E00
nuclear chromosome, telomeric region (GO:0000784)	18	0	.28	-	 < 0.01	1.00E00	1.03E00	0	.15	-	 < 0.01	1.00E00	1.25E00	0	.42	-	 < 0.01	1.00E00	1.19E00
chromosome, telomeric region (GO:0000781)	4	0	.06	-	 < 0.01	1.00E00	1.58E00	0	.03	-	 < 0.01	1.00E00	1.32E00	0	.09	-	 < 0.01	1.00E00	1.20E00
condensed nuclear chromosome, centromeric region (GO:0000780)	13	0	.20	-	 < 0.01	1.00E00	2.10E00	0	.11	-	 < 0.01	1.00E00	1.74E00	0	.31	-	 < 0.01	1.00E00	1.67E00
condensed chromosome, centromeric region (GO:0000779)	7	0	.11	-	 < 0.01	1.00E00	1.17E00	0	.06	-	 < 0.01	1.00E00	1.21E00	0	.17	-	 < 0.01	1.00E00	1.11E00
