




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	qNSCI (Mus musculus )qNSCII (Mus musculus )pNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	qNSCI (177)	qNSCI (expected)	qNSCI (over/under)	qNSCI (fold Enrichment)	qNSCI (raw P-value)	qNSCI (FDR)	qNSCII (337)	qNSCII (expected)	qNSCII (over/under)	qNSCII (fold Enrichment)	qNSCII (raw P-value)	qNSCII (FDR)	pNSC (52)	pNSC (expected)	pNSC (over/under)	pNSC (fold Enrichment)	pNSC (raw P-value)	pNSC (FDR)
voltage-gated calcium channel complex (GO:0005891)	13	0	.10	-	 < 0.01	1.00E00	1.92E00	0	.20	-	 < 0.01	1.00E00	1.74E00	0	.03	-	 < 0.01	1.00E00	1.12E00
nuclear inner membrane (GO:0005637)	13	0	.10	-	 < 0.01	1.00E00	1.93E00	0	.20	-	 < 0.01	1.00E00	1.75E00	0	.03	-	 < 0.01	1.00E00	1.13E00
membrane region (GO:0098589)	13	0	.10	-	 < 0.01	1.00E00	1.94E00	1	.20	+	5.09	1.89E-01	1.37E00	0	.03	-	 < 0.01	1.00E00	1.13E00
condensed nuclear chromosome kinetochore (GO:0000778)	9	0	.07	-	 < 0.01	1.00E00	1.95E00	0	.14	-	 < 0.01	1.00E00	2.60E00	0	.02	-	 < 0.01	1.00E00	1.16E00
endoplasmic reticulum (GO:0005783)	241	0	1.91	-	 < 0.01	2.70E-01	1.95E00	2	3.64	-	.55	5.92E-01	2.19E00	0	.56	-	 < 0.01	1.00E00	7.23E00
melanosome (GO:0042470)	9	0	.07	-	 < 0.01	1.00E00	1.96E00	0	.14	-	 < 0.01	1.00E00	2.62E00	0	.02	-	 < 0.01	1.00E00	1.17E00
post-mRNA release spliceosomal complex (GO:0071014)	9	0	.07	-	 < 0.01	1.00E00	1.96E00	0	.14	-	 < 0.01	1.00E00	2.64E00	0	.02	-	 < 0.01	1.00E00	1.17E00
gamma-tubulin complex (GO:0000930)	9	0	.07	-	 < 0.01	1.00E00	1.97E00	0	.14	-	 < 0.01	1.00E00	2.65E00	0	.02	-	 < 0.01	1.00E00	1.17E00
TORC2 complex (GO:0031932)	9	0	.07	-	 < 0.01	1.00E00	1.98E00	0	.14	-	 < 0.01	1.00E00	2.67E00	0	.02	-	 < 0.01	1.00E00	1.18E00
cytoplasmic stress granule (GO:0010494)	9	0	.07	-	 < 0.01	1.00E00	1.99E00	0	.14	-	 < 0.01	1.00E00	2.68E00	0	.02	-	 < 0.01	1.00E00	1.18E00
polymeric cytoskeletal fiber (GO:0099513)	9	0	.07	-	 < 0.01	1.00E00	2.00E00	1	.14	+	7.35	1.39E-01	1.30E00	0	.02	-	 < 0.01	1.00E00	1.18E00
trans-Golgi network transport vesicle (GO:0030140)	9	0	.07	-	 < 0.01	1.00E00	2.01E00	0	.14	-	 < 0.01	1.00E00	2.70E00	0	.02	-	 < 0.01	1.00E00	1.19E00
replication fork protection complex (GO:0031298)	9	0	.07	-	 < 0.01	1.00E00	2.02E00	0	.14	-	 < 0.01	1.00E00	2.72E00	0	.02	-	 < 0.01	1.00E00	1.19E00
contractile fiber (GO:0043292)	49	0	.39	-	 < 0.01	1.00E00	2.03E00	0	.74	-	 < 0.01	1.00E00	2.36E00	0	.11	-	 < 0.01	1.00E00	4.11E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	49	0	.39	-	 < 0.01	1.00E00	2.04E00	1	.74	+	1.35	5.28E-01	2.13E00	1	.11	+	8.75	1.10E-01	3.29E00
nuclear pore (GO:0005643)	49	0	.39	-	 < 0.01	1.00E00	2.05E00	0	.74	-	 < 0.01	1.00E00	2.37E00	0	.11	-	 < 0.01	1.00E00	4.15E00
cell projection (GO:0042995)	51	0	.40	-	 < 0.01	1.00E00	2.06E00	1	.77	+	1.30	5.42E-01	2.15E00	0	.12	-	 < 0.01	1.00E00	6.89E00
catalytic step 2 spliceosome (GO:0071013)	43	0	.34	-	 < 0.01	1.00E00	2.06E00	0	.65	-	 < 0.01	1.00E00	1.30E00	0	.10	-	 < 0.01	1.00E00	2.89E00
extrinsic component of membrane (GO:0019898)	45	1	.36	+	2.80	3.05E-01	2.07E00	0	.68	-	 < 0.01	1.00E00	1.76E00	0	.10	-	 < 0.01	1.00E00	2.84E00
Prp19 complex (GO:0000974)	43	0	.34	-	 < 0.01	1.00E00	2.07E00	0	.65	-	 < 0.01	1.00E00	1.30E00	0	.10	-	 < 0.01	1.00E00	2.91E00
ribonuclease P complex (GO:0030677)	5	0	.04	-	 < 0.01	1.00E00	2.08E00	0	.08	-	 < 0.01	1.00E00	2.20E00	0	.01	-	 < 0.01	1.00E00	1.04E00
condensed chromosome kinetochore (GO:0000777)	5	0	.04	-	 < 0.01	1.00E00	2.09E00	0	.08	-	 < 0.01	1.00E00	2.21E00	0	.01	-	 < 0.01	1.00E00	1.04E00
secretory granule (GO:0030141)	44	1	.35	+	2.86	3.00E-01	2.10E00	1	.67	+	1.50	4.91E-01	2.08E00	0	.10	-	 < 0.01	1.00E00	3.86E00
mitochondrial respiratory chain complex III (GO:0005750)	5	0	.04	-	 < 0.01	1.00E00	2.10E00	0	.08	-	 < 0.01	1.00E00	2.22E00	0	.01	-	 < 0.01	1.00E00	1.05E00
endosome membrane (GO:0010008)	45	1	.36	+	2.80	3.05E-01	2.10E00	1	.68	+	1.47	4.99E-01	2.09E00	0	.10	-	 < 0.01	1.00E00	2.85E00
growth cone (GO:0030426)	5	0	.04	-	 < 0.01	1.00E00	2.11E00	0	.08	-	 < 0.01	1.00E00	2.23E00	0	.01	-	 < 0.01	1.00E00	1.05E00
mitochondrial outer membrane (GO:0005741)	47	1	.37	+	2.68	3.16E-01	2.11E00	1	.71	+	1.41	5.14E-01	2.13E00	0	.11	-	 < 0.01	1.00E00	4.04E00
cortical cytoskeleton (GO:0030863)	5	0	.04	-	 < 0.01	1.00E00	2.12E00	0	.08	-	 < 0.01	1.00E00	2.24E00	0	.01	-	 < 0.01	1.00E00	1.05E00
histone methyltransferase complex (GO:0035097)	44	1	.35	+	2.86	3.00E-01	2.13E00	0	.67	-	 < 0.01	1.00E00	1.24E00	0	.10	-	 < 0.01	1.00E00	3.93E00
caveola (GO:0005901)	5	0	.04	-	 < 0.01	1.00E00	2.13E00	0	.08	-	 < 0.01	1.00E00	2.25E00	0	.01	-	 < 0.01	1.00E00	1.05E00
clathrin-coated pit (GO:0005905)	5	0	.04	-	 < 0.01	1.00E00	2.14E00	0	.08	-	 < 0.01	1.00E00	2.26E00	0	.01	-	 < 0.01	1.00E00	1.06E00
organelle outer membrane (GO:0031968)	49	1	.39	+	2.57	3.27E-01	2.15E00	2	.74	+	2.70	1.76E-01	1.38E00	0	.11	-	 < 0.01	1.00E00	4.07E00
cell-cell contact zone (GO:0044291)	5	0	.04	-	 < 0.01	1.00E00	2.15E00	0	.08	-	 < 0.01	1.00E00	2.27E00	0	.01	-	 < 0.01	1.00E00	1.06E00
endosome (GO:0005768)	157	2	1.25	+	1.60	3.57E-01	2.16E00	2	2.37	-	.84	1.00E00	1.33E00	0	.37	-	 < 0.01	1.00E00	3.96E00
intracellular organelle lumen (GO:0070013)	5	0	.04	-	 < 0.01	1.00E00	2.16E00	0	.08	-	 < 0.01	1.00E00	2.29E00	0	.01	-	 < 0.01	1.00E00	1.06E00
bounding membrane of organelle (GO:0098588)	53	1	.42	+	2.38	3.48E-01	2.16E00	1	.80	+	1.25	5.56E-01	2.18E00	0	.12	-	 < 0.01	1.00E00	6.05E00
microtubule (GO:0005874)	156	2	1.24	+	1.61	3.54E-01	2.17E00	3	2.36	+	1.27	5.14E-01	2.11E00	0	.36	-	 < 0.01	1.00E00	4.31E00
membrane-bounded organelle (GO:0043227)	604	7	4.79	+	1.46	3.45E-01	2.17E00	14	9.13	+	1.53	1.25E-01	1.25E00	2	1.41	+	1.42	6.53E-01	6.50E00
SCAR complex (GO:0031209)	5	0	.04	-	 < 0.01	1.00E00	2.17E00	0	.08	-	 < 0.01	1.00E00	2.30E00	0	.01	-	 < 0.01	1.00E00	1.06E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	5	0	.04	-	 < 0.01	1.00E00	2.19E00	0	.08	-	 < 0.01	1.00E00	2.31E00	0	.01	-	 < 0.01	1.00E00	1.07E00
catalytic complex (GO:1902494)	328	4	2.60	+	1.54	3.37E-01	2.19E00	6	4.96	+	1.21	6.44E-01	2.24E00	1	.76	+	1.31	5.38E-01	6.69E00
nuclear chromosome part (GO:0044454)	52	1	.41	+	2.42	3.43E-01	2.19E00	0	.79	-	 < 0.01	1.00E00	2.82E00	0	.12	-	 < 0.01	1.00E00	5.21E00
basement membrane (GO:0005604)	5	0	.04	-	 < 0.01	1.00E00	2.20E00	1	.08	+	13.23	8.61E-02	1.01E00	0	.01	-	 < 0.01	1.00E00	1.07E00
side of membrane (GO:0098552)	5	0	.04	-	 < 0.01	1.00E00	2.21E00	0	.08	-	 < 0.01	1.00E00	2.32E00	0	.01	-	 < 0.01	1.00E00	1.07E00
cytoplasmic side of membrane (GO:0098562)	5	0	.04	-	 < 0.01	1.00E00	2.22E00	0	.08	-	 < 0.01	1.00E00	2.33E00	0	.01	-	 < 0.01	1.00E00	1.07E00
transporter complex (GO:1990351)	5	0	.04	-	 < 0.01	1.00E00	2.23E00	0	.08	-	 < 0.01	1.00E00	2.35E00	0	.01	-	 < 0.01	1.00E00	1.08E00
microtubule associated complex (GO:0005875)	59	1	.47	+	2.14	3.78E-01	2.23E00	1	.89	+	1.12	5.94E-01	2.18E00	0	.14	-	 < 0.01	1.00E00	5.46E00
actin filament (GO:0005884)	58	1	.46	+	2.17	3.73E-01	2.23E00	1	.88	+	1.14	5.88E-01	2.21E00	0	.14	-	 < 0.01	1.00E00	4.53E00
nuclear transcriptional repressor complex (GO:0090568)	6	0	.05	-	 < 0.01	1.00E00	2.24E00	0	.09	-	 < 0.01	1.00E00	2.06E00	0	.01	-	 < 0.01	1.00E00	1.53E00
leaflet of membrane bilayer (GO:0097478)	406	1	3.22	-	.31	3.85E-01	2.24E00	2	6.14	-	.33	9.89E-02	1.11E00	1	.95	+	1.06	6.16E-01	6.90E00
lamellipodium (GO:0030027)	6	0	.05	-	 < 0.01	1.00E00	2.25E00	0	.09	-	 < 0.01	1.00E00	2.06E00	0	.01	-	 < 0.01	1.00E00	1.53E00
calcium channel complex (GO:0034704)	6	0	.05	-	 < 0.01	1.00E00	2.26E00	0	.09	-	 < 0.01	1.00E00	2.07E00	0	.01	-	 < 0.01	1.00E00	1.54E00
brush border (GO:0005903)	6	0	.05	-	 < 0.01	1.00E00	2.27E00	0	.09	-	 < 0.01	1.00E00	2.08E00	0	.01	-	 < 0.01	1.00E00	1.54E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	6	0	.05	-	 < 0.01	1.00E00	2.29E00	0	.09	-	 < 0.01	1.00E00	2.09E00	0	.01	-	 < 0.01	1.00E00	1.55E00
midbody (GO:0030496)	6	0	.05	-	 < 0.01	1.00E00	2.30E00	0	.09	-	 < 0.01	1.00E00	2.10E00	0	.01	-	 < 0.01	1.00E00	1.56E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	6	0	.05	-	 < 0.01	1.00E00	2.31E00	0	.09	-	 < 0.01	1.00E00	2.11E00	0	.01	-	 < 0.01	1.00E00	1.56E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	6	0	.05	-	 < 0.01	1.00E00	2.32E00	0	.09	-	 < 0.01	1.00E00	2.13E00	0	.01	-	 < 0.01	1.00E00	1.57E00
ciliary transition fiber (GO:0097539)	6	0	.05	-	 < 0.01	1.00E00	2.33E00	0	.09	-	 < 0.01	1.00E00	2.14E00	0	.01	-	 < 0.01	1.00E00	1.58E00
THO complex (GO:0000347)	6	0	.05	-	 < 0.01	1.00E00	2.35E00	0	.09	-	 < 0.01	1.00E00	2.15E00	0	.01	-	 < 0.01	1.00E00	1.58E00
ciliary base (GO:0097546)	6	0	.05	-	 < 0.01	1.00E00	2.36E00	0	.09	-	 < 0.01	1.00E00	2.16E00	0	.01	-	 < 0.01	1.00E00	1.59E00
DNA replication factor A complex (GO:0005662)	6	0	.05	-	 < 0.01	1.00E00	2.37E00	0	.09	-	 < 0.01	1.00E00	2.17E00	0	.01	-	 < 0.01	1.00E00	1.59E00
nuclear origin of replication recognition complex (GO:0005664)	6	0	.05	-	 < 0.01	1.00E00	2.38E00	0	.09	-	 < 0.01	1.00E00	2.19E00	0	.01	-	 < 0.01	1.00E00	1.60E00
cell cortex (GO:0005938)	67	1	.53	+	1.88	4.16E-01	2.39E00	0	1.01	-	 < 0.01	6.29E-01	2.29E00	0	.16	-	 < 0.01	1.00E00	8.78E00
endoplasmic reticulum exit site (GO:0070971)	12	0	.10	-	 < 0.01	1.00E00	2.40E00	0	.18	-	 < 0.01	1.00E00	1.33E00	0	.03	-	 < 0.01	1.00E00	1.27E00
proteasome regulatory particle, base subcomplex (GO:0008540)	12	0	.10	-	 < 0.01	1.00E00	2.41E00	0	.18	-	 < 0.01	1.00E00	1.33E00	0	.03	-	 < 0.01	1.00E00	1.27E00
nuclear pore central transport channel (GO:0044613)	12	0	.10	-	 < 0.01	1.00E00	2.42E00	0	.18	-	 < 0.01	1.00E00	1.34E00	0	.03	-	 < 0.01	1.00E00	1.27E00
cis-Golgi network (GO:0005801)	12	0	.10	-	 < 0.01	1.00E00	2.43E00	0	.18	-	 < 0.01	1.00E00	1.34E00	0	.03	-	 < 0.01	1.00E00	1.28E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	12	0	.10	-	 < 0.01	1.00E00	2.45E00	0	.18	-	 < 0.01	1.00E00	1.35E00	0	.03	-	 < 0.01	1.00E00	1.28E00
spindle microtubule (GO:0005876)	12	0	.10	-	 < 0.01	1.00E00	2.46E00	0	.18	-	 < 0.01	1.00E00	1.35E00	0	.03	-	 < 0.01	1.00E00	1.28E00
COPI-coated vesicle (GO:0030137)	12	0	.10	-	 < 0.01	1.00E00	2.48E00	0	.18	-	 < 0.01	1.00E00	1.35E00	0	.03	-	 < 0.01	1.00E00	1.29E00
collagen trimer (GO:0005581)	12	0	.10	-	 < 0.01	1.00E00	2.49E00	1	.18	+	5.51	1.77E-01	1.37E00	0	.03	-	 < 0.01	1.00E00	1.29E00
mitochondrial large ribosomal subunit (GO:0005762)	17	0	.13	-	 < 0.01	1.00E00	2.50E00	0	.26	-	 < 0.01	1.00E00	1.12E00	0	.04	-	 < 0.01	1.00E00	1.22E00
chromosome (GO:0005694)	515	2	4.09	-	.49	4.47E-01	2.50E00	6	7.78	-	.77	7.12E-01	2.30E00	1	1.20	-	.83	1.00E00	2.95E00
tethering complex (GO:0099023)	17	0	.13	-	 < 0.01	1.00E00	2.52E00	0	.26	-	 < 0.01	1.00E00	1.12E00	0	.04	-	 < 0.01	1.00E00	1.22E00
chromosomal part (GO:0044427)	497	2	3.95	-	.51	4.46E-01	2.53E00	6	7.51	-	.80	7.11E-01	2.33E00	1	1.16	-	.86	1.00E00	7.00E00
ribosome (GO:0005840)	17	0	.13	-	 < 0.01	1.00E00	2.53E00	0	.26	-	 < 0.01	1.00E00	1.12E00	0	.04	-	 < 0.01	1.00E00	1.22E00
mitochondrial protein complex (GO:0098798)	17	0	.13	-	 < 0.01	1.00E00	2.55E00	0	.26	-	 < 0.01	1.00E00	1.13E00	0	.04	-	 < 0.01	1.00E00	1.23E00
organelle subcompartment (GO:0031984)	255	3	2.02	+	1.48	4.61E-01	2.55E00	5	3.85	+	1.30	4.44E-01	1.95E00	0	.59	-	 < 0.01	1.00E00	5.33E00
mitochondrial membrane (GO:0031966)	17	0	.13	-	 < 0.01	1.00E00	2.56E00	0	.26	-	 < 0.01	1.00E00	1.13E00	0	.04	-	 < 0.01	1.00E00	1.23E00
integral component of organelle membrane (GO:0031301)	17	0	.13	-	 < 0.01	1.00E00	2.57E00	0	.26	-	 < 0.01	1.00E00	1.13E00	0	.04	-	 < 0.01	1.00E00	1.23E00
intraciliary transport particle B (GO:0030992)	17	0	.13	-	 < 0.01	1.00E00	2.59E00	0	.26	-	 < 0.01	1.00E00	1.13E00	0	.04	-	 < 0.01	1.00E00	1.24E00
transcription factor TFIID complex (GO:0005669)	17	0	.13	-	 < 0.01	1.00E00	2.60E00	0	.26	-	 < 0.01	1.00E00	1.14E00	0	.04	-	 < 0.01	1.00E00	1.24E00
RNA polymerase II transcription factor complex (GO:0090575)	42	0	.33	-	 < 0.01	1.00E00	2.62E00	2	.63	+	3.15	1.39E-01	1.27E00	0	.10	-	 < 0.01	1.00E00	2.77E00
cell-cell adherens junction (GO:0005913)	42	0	.33	-	 < 0.01	1.00E00	2.64E00	1	.63	+	1.58	4.76E-01	2.03E00	0	.10	-	 < 0.01	1.00E00	2.78E00
ciliary plasm (GO:0097014)	42	0	.33	-	 < 0.01	1.00E00	2.65E00	0	.63	-	 < 0.01	1.00E00	1.57E00	0	.10	-	 < 0.01	1.00E00	2.80E00
neuronal cell body (GO:0043025)	42	0	.33	-	 < 0.01	1.00E00	2.67E00	0	.63	-	 < 0.01	1.00E00	1.58E00	0	.10	-	 < 0.01	1.00E00	2.82E00
small nuclear ribonucleoprotein complex (GO:0030532)	74	0	.59	-	 < 0.01	1.00E00	2.68E00	1	1.12	-	.89	1.00E00	1.59E00	0	.17	-	 < 0.01	1.00E00	7.47E00
nuclear transcription factor complex (GO:0044798)	74	0	.59	-	 < 0.01	1.00E00	2.70E00	2	1.12	+	1.79	3.13E-01	1.63E00	0	.17	-	 < 0.01	1.00E00	7.59E00
ribonucleoprotein granule (GO:0035770)	50	0	.40	-	 < 0.01	1.00E00	2.72E00	0	.76	-	 < 0.01	1.00E00	2.73E00	0	.12	-	 < 0.01	1.00E00	4.82E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	50	0	.40	-	 < 0.01	1.00E00	2.73E00	0	.76	-	 < 0.01	1.00E00	2.75E00	0	.12	-	 < 0.01	1.00E00	4.87E00
cytoskeletal part (GO:0044430)	50	0	.40	-	 < 0.01	1.00E00	2.75E00	1	.76	+	1.32	5.35E-01	2.14E00	0	.12	-	 < 0.01	1.00E00	4.92E00
t-UTP complex (GO:0034455)	50	0	.40	-	 < 0.01	1.00E00	2.77E00	0	.76	-	 < 0.01	1.00E00	2.77E00	0	.12	-	 < 0.01	1.00E00	4.98E00
cullin-RING ubiquitin ligase complex (GO:0031461)	61	0	.48	-	 < 0.01	1.00E00	2.78E00	0	.92	-	 < 0.01	1.00E00	2.04E00	0	.14	-	 < 0.01	1.00E00	4.67E00
condensed chromosome, centromeric region (GO:0000779)	7	0	.06	-	 < 0.01	1.00E00	2.80E00	0	.11	-	 < 0.01	1.00E00	1.37E00	0	.02	-	 < 0.01	1.00E00	1.35E00
mitochondrial respiratory chain complex IV (GO:0005751)	7	0	.06	-	 < 0.01	1.00E00	2.82E00	0	.11	-	 < 0.01	1.00E00	1.37E00	0	.02	-	 < 0.01	1.00E00	1.35E00
nucleoplasm (GO:0005654)	309	1	2.45	-	.41	5.25E-01	2.83E00	0	4.67	-	 < 0.01	1.63E-02	3.65E-01	0	.72	-	 < 0.01	1.00E00	7.11E00
external side of plasma membrane (GO:0009897)	346	1	2.75	-	.36	5.32E-01	2.84E00	1	5.23	-	.19	6.92E-02	9.12E-01	0	.81	-	 < 0.01	1.00E00	8.30E00
TRAPP complex (GO:0030008)	7	0	.06	-	 < 0.01	1.00E00	2.84E00	0	.11	-	 < 0.01	1.00E00	1.37E00	0	.02	-	 < 0.01	1.00E00	1.35E00
CCR4-NOT complex (GO:0030014)	7	0	.06	-	 < 0.01	1.00E00	2.85E00	0	.11	-	 < 0.01	1.00E00	1.38E00	0	.02	-	 < 0.01	1.00E00	1.36E00
mitochondrion (GO:0005739)	310	1	2.46	-	.41	5.25E-01	2.87E00	4	4.69	-	.85	1.00E00	1.36E00	4	.72	+	5.53	6.09E-03	3.90E-01
Golgi transport complex (GO:0017119)	7	0	.06	-	 < 0.01	1.00E00	2.87E00	0	.11	-	 < 0.01	1.00E00	1.38E00	0	.02	-	 < 0.01	1.00E00	1.36E00
transcription factor TFIIIC complex (GO:0000127)	7	0	.06	-	 < 0.01	1.00E00	2.89E00	0	.11	-	 < 0.01	1.00E00	1.39E00	0	.02	-	 < 0.01	1.00E00	1.37E00
Fanconi anaemia nuclear complex (GO:0043240)	7	0	.06	-	 < 0.01	1.00E00	2.91E00	0	.11	-	 < 0.01	1.00E00	1.39E00	0	.02	-	 < 0.01	1.00E00	1.37E00
transport vesicle (GO:0030133)	7	0	.06	-	 < 0.01	1.00E00	2.93E00	0	.11	-	 < 0.01	1.00E00	1.40E00	0	.02	-	 < 0.01	1.00E00	1.37E00
acrosomal vesicle (GO:0001669)	7	0	.06	-	 < 0.01	1.00E00	2.95E00	0	.11	-	 < 0.01	1.00E00	1.40E00	0	.02	-	 < 0.01	1.00E00	1.38E00
photoreceptor outer segment (GO:0001750)	7	0	.06	-	 < 0.01	1.00E00	2.97E00	0	.11	-	 < 0.01	1.00E00	1.40E00	0	.02	-	 < 0.01	1.00E00	1.39E00
BBSome (GO:0034464)	7	0	.06	-	 < 0.01	1.00E00	2.99E00	0	.11	-	 < 0.01	1.00E00	1.41E00	0	.02	-	 < 0.01	1.00E00	1.39E00
cytosolic part (GO:0044445)	164	0	1.30	-	 < 0.01	6.43E-01	3.00E00	2	2.48	-	.81	1.00E00	1.11E00	0	.38	-	 < 0.01	1.00E00	3.76E00
Golgi-associated vesicle membrane (GO:0030660)	7	0	.06	-	 < 0.01	1.00E00	3.01E00	0	.11	-	 < 0.01	1.00E00	1.41E00	0	.02	-	 < 0.01	1.00E00	1.40E00
intraciliary transport particle (GO:0030990)	156	0	1.24	-	 < 0.01	6.38E-01	3.01E00	0	2.36	-	 < 0.01	1.80E-01	1.32E00	0	.36	-	 < 0.01	1.00E00	4.35E00
transferase complex (GO:1990234)	106	1	.84	+	1.19	5.72E-01	3.01E00	3	1.60	+	1.87	2.22E-01	1.44E00	0	.25	-	 < 0.01	1.00E00	1.19E00
nuclear lumen (GO:0031981)	562	3	4.46	-	.67	6.34E-01	3.02E00	0	8.49	-	 < 0.01	3.13E-04	3.51E-02	0	1.31	-	 < 0.01	6.43E-01	6.55E00
DNA-directed RNA polymerase II, core complex (GO:0005665)	7	0	.06	-	 < 0.01	1.00E00	3.03E00	0	.11	-	 < 0.01	1.00E00	1.42E00	0	.02	-	 < 0.01	1.00E00	1.40E00
chromatin (GO:0000785)	450	2	3.57	-	.56	5.91E-01	3.04E00	6	6.80	-	.88	1.00E00	3.07E00	1	1.05	-	.95	1.00E00	4.19E00
somatodendritic compartment (GO:0036477)	143	0	1.14	-	 < 0.01	6.33E-01	3.05E00	2	2.16	-	.93	1.00E00	1.36E00	0	.33	-	 < 0.01	1.00E00	1.51E00
DNA-directed RNA polymerase II, holoenzyme (GO:0016591)	73	0	.58	-	 < 0.01	1.00E00	3.05E00	0	1.10	-	 < 0.01	6.30E-01	2.26E00	0	.17	-	 < 0.01	1.00E00	8.45E00
non-membrane-bounded organelle (GO:0043228)	1125	7	8.93	-	.78	6.07E-01	3.06E00	16	17.00	-	.94	9.00E-01	2.78E00	1	2.62	-	.38	5.21E-01	6.87E00
spliceosomal snRNP complex (GO:0097525)	73	0	.58	-	 < 0.01	1.00E00	3.07E00	1	1.10	-	.91	1.00E00	1.28E00	0	.17	-	 < 0.01	1.00E00	8.62E00
protein-containing complex (GO:0032991)	1639	11	13.01	-	.85	6.65E-01	3.07E00	21	24.77	-	.85	5.27E-01	2.15E00	2	3.82	-	.52	5.89E-01	6.94E00
cell surface (GO:0009986)	447	2	3.55	-	.56	5.90E-01	3.08E00	3	6.76	-	.44	1.70E-01	1.36E00	0	1.04	-	 < 0.01	6.28E-01	6.70E00
microtubule organizing center (GO:0005815)	141	0	1.12	-	 < 0.01	6.32E-01	3.08E00	2	2.13	-	.94	1.00E00	2.40E00	0	.33	-	 < 0.01	1.00E00	2.49E00
ER to Golgi transport vesicle membrane (GO:0012507)	15	0	.12	-	 < 0.01	1.00E00	3.09E00	0	.23	-	 < 0.01	1.00E00	1.24E00	0	.03	-	 < 0.01	1.00E00	1.00E00
intracellular non-membrane-bounded organelle (GO:0043232)	1125	7	8.93	-	.78	6.07E-01	3.09E00	16	17.00	-	.94	9.00E-01	2.80E00	1	2.62	-	.38	5.21E-01	7.08E00
Golgi subcompartment (GO:0098791)	141	0	1.12	-	 < 0.01	6.32E-01	3.11E00	2	2.13	-	.94	1.00E00	2.41E00	0	.33	-	 < 0.01	1.00E00	2.50E00
proton-transporting ATP synthase complex (GO:0045259)	15	0	.12	-	 < 0.01	1.00E00	3.11E00	0	.23	-	 < 0.01	1.00E00	1.25E00	0	.03	-	 < 0.01	1.00E00	1.01E00
DNA helicase complex (GO:0033202)	15	0	.12	-	 < 0.01	1.00E00	3.13E00	0	.23	-	 < 0.01	1.00E00	1.25E00	0	.03	-	 < 0.01	1.00E00	1.01E00
cytoskeleton (GO:0005856)	552	5	4.38	+	1.14	6.30E-01	3.13E00	9	8.34	+	1.08	7.25E-01	2.32E00	0	1.29	-	 < 0.01	6.41E-01	6.68E00
Golgi-associated vesicle (GO:0005798)	15	0	.12	-	 < 0.01	1.00E00	3.15E00	0	.23	-	 < 0.01	1.00E00	1.25E00	0	.03	-	 < 0.01	1.00E00	1.01E00
serine/threonine protein kinase complex (GO:1902554)	15	0	.12	-	 < 0.01	1.00E00	3.18E00	1	.23	+	4.41	2.13E-01	1.45E00	0	.03	-	 < 0.01	1.00E00	1.02E00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	15	0	.12	-	 < 0.01	1.00E00	3.20E00	0	.23	-	 < 0.01	1.00E00	1.26E00	0	.03	-	 < 0.01	1.00E00	1.02E00
cytoplasmic part (GO:0044444)	2177	15	17.28	-	.87	7.02E-01	3.21E00	35	32.90	+	1.06	7.11E-01	2.31E00	8	5.08	+	1.58	1.63E-01	3.64E00
actin-based cell projection (GO:0098858)	15	0	.12	-	 < 0.01	1.00E00	3.22E00	0	.23	-	 < 0.01	1.00E00	1.26E00	0	.03	-	 < 0.01	1.00E00	1.02E00
endocytic vesicle (GO:0030139)	15	0	.12	-	 < 0.01	1.00E00	3.25E00	0	.23	-	 < 0.01	1.00E00	1.27E00	0	.03	-	 < 0.01	1.00E00	1.02E00
site of double-strand break (GO:0035861)	15	0	.12	-	 < 0.01	1.00E00	3.27E00	0	.23	-	 < 0.01	1.00E00	1.27E00	0	.03	-	 < 0.01	1.00E00	1.03E00
neuromuscular junction (GO:0031594)	15	0	.12	-	 < 0.01	1.00E00	3.29E00	0	.23	-	 < 0.01	1.00E00	1.27E00	0	.03	-	 < 0.01	1.00E00	1.03E00
organelle part (GO:0044422)	15	0	.12	-	 < 0.01	1.00E00	3.32E00	1	.23	+	4.41	2.13E-01	1.47E00	0	.03	-	 < 0.01	1.00E00	1.03E00
mitochondrial intermembrane space (GO:0005758)	14	0	.11	-	 < 0.01	1.00E00	3.34E00	0	.21	-	 < 0.01	1.00E00	1.49E00	0	.03	-	 < 0.01	1.00E00	1.03E00
exocyst (GO:0000145)	14	0	.11	-	 < 0.01	1.00E00	3.37E00	0	.21	-	 < 0.01	1.00E00	1.49E00	0	.03	-	 < 0.01	1.00E00	1.04E00
Golgi apparatus part (GO:0044431)	14	0	.11	-	 < 0.01	1.00E00	3.39E00	0	.21	-	 < 0.01	1.00E00	1.50E00	0	.03	-	 < 0.01	1.00E00	1.04E00
