




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	MOL (Mus musculus )OPC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	MOL (491)	MOL (expected)	MOL (over/under)	MOL (fold Enrichment)	MOL (raw P-value)	MOL (FDR)	OPC (556)	OPC (expected)	OPC (over/under)	OPC (fold Enrichment)	OPC (raw P-value)	OPC (FDR)
mitochondrial large ribosomal subunit (GO:0005762)	17	0	.37	-	 < 0.01	1.00E00	1.04E00	0	.42	-	 < 0.01	1.00E00	1.09E00
mitochondrial ribosome (GO:0005761)	30	0	.66	-	 < 0.01	1.00E00	1.00E00	0	.75	-	 < 0.01	1.00E00	1.34E00
TRAPP complex (GO:0030008)	7	0	.15	-	 < 0.01	1.00E00	1.08E00	0	.17	-	 < 0.01	1.00E00	1.20E00
intercalated disc (GO:0014704)	3	0	.07	-	 < 0.01	1.00E00	1.31E00	0	.07	-	 < 0.01	1.00E00	1.06E00
nuclear pore central transport channel (GO:0044613)	12	0	.26	-	 < 0.01	1.00E00	1.29E00	0	.30	-	 < 0.01	1.00E00	1.60E00
proton-transporting ATP synthase complex (GO:0045259)	15	0	.33	-	 < 0.01	1.00E00	1.01E00	0	.37	-	 < 0.01	1.00E00	1.17E00
mitochondrial matrix (GO:0005759)	57	0	1.26	-	 < 0.01	6.37E-01	1.53E00	1	1.42	-	.70	1.00E00	2.19E00
mitochondrial intermembrane space (GO:0005758)	14	0	.31	-	 < 0.01	1.00E00	1.54E00	1	.35	+	2.86	3.09E-01	1.10E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	10	0	.22	-	 < 0.01	1.00E00	1.87E00	0	.25	-	 < 0.01	1.00E00	1.68E00
mitochondrial respiratory chain complex IV (GO:0005751)	7	0	.15	-	 < 0.01	1.00E00	1.08E00	0	.17	-	 < 0.01	1.00E00	1.19E00
mitochondrial respiratory chain complex III (GO:0005750)	5	0	.11	-	 < 0.01	1.00E00	1.24E00	0	.12	-	 < 0.01	1.00E00	1.37E00
RNA polymerase II transcription factor complex (GO:0090575)	42	0	.92	-	 < 0.01	1.00E00	1.14E00	0	1.05	-	 < 0.01	6.27E-01	1.60E00
transcriptional repressor complex (GO:0017053)	11	0	.24	-	 < 0.01	1.00E00	1.78E00	0	.27	-	 < 0.01	1.00E00	2.01E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	8	0	.18	-	 < 0.01	1.00E00	1.67E00	0	.20	-	 < 0.01	1.00E00	1.82E00
proteasome regulatory particle, base subcomplex (GO:0008540)	12	0	.26	-	 < 0.01	1.00E00	1.28E00	0	.30	-	 < 0.01	1.00E00	1.59E00
mitochondrial respiratory chain complex I (GO:0005747)	20	0	.44	-	 < 0.01	1.00E00	1.49E00	0	.50	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain (GO:0005746)	36	0	.79	-	 < 0.01	1.00E00	1.07E00	0	.90	-	 < 0.01	1.00E00	1.40E00
core TFIIH complex (GO:0000439)	8	0	.18	-	 < 0.01	1.00E00	1.66E00	0	.20	-	 < 0.01	1.00E00	1.81E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	33	0	.73	-	 < 0.01	1.00E00	1.53E00	0	.82	-	 < 0.01	1.00E00	1.64E00
mitochondrial inner membrane presequence translocase complex (GO:0005744)	11	0	.24	-	 < 0.01	1.00E00	1.77E00	0	.27	-	 < 0.01	1.00E00	2.00E00
synaptonemal complex (GO:0000795)	62	0	1.37	-	 < 0.01	6.46E-01	1.53E00	0	1.55	-	 < 0.01	4.08E-01	1.24E00
condensed nuclear chromosome (GO:0000794)	86	0	1.89	-	 < 0.01	2.68E-01	1.10E00	0	2.14	-	 < 0.01	2.77E-01	1.06E00
nuclear transcriptional repressor complex (GO:0090568)	6	0	.13	-	 < 0.01	1.00E00	1.39E00	0	.15	-	 < 0.01	1.00E00	1.41E00
condensed chromosome (GO:0000793)	21	0	.46	-	 < 0.01	1.00E00	1.06E00	0	.52	-	 < 0.01	1.00E00	1.15E00
heterochromatin (GO:0000792)	4	0	.09	-	 < 0.01	1.00E00	2.01E00	0	.10	-	 < 0.01	1.00E00	1.28E00
presynaptic active zone (GO:0048786)	16	0	.35	-	 < 0.01	1.00E00	1.17E00	0	.40	-	 < 0.01	1.00E00	1.94E00
DNA-directed RNA polymerase I complex (GO:0005736)	10	0	.22	-	 < 0.01	1.00E00	1.86E00	0	.25	-	 < 0.01	1.00E00	1.68E00
DNA-directed RNA polymerase complex (GO:0000428)	1	0	.02	-	 < 0.01	1.00E00	1.11E00	0	.02	-	 < 0.01	1.00E00	1.02E00
small nucleolar ribonucleoprotein complex (GO:0005732)	11	0	.24	-	 < 0.01	1.00E00	1.76E00	0	.27	-	 < 0.01	1.00E00	1.99E00
nuclear chromosome, telomeric region (GO:0000784)	18	0	.40	-	 < 0.01	1.00E00	1.05E00	0	.45	-	 < 0.01	1.00E00	1.31E00
nucleolus (GO:0005730)	140	0	3.08	-	 < 0.01	7.92E-02	6.45E-01	1	3.49	-	.29	2.70E-01	1.04E00
chromosome, telomeric region (GO:0000781)	4	0	.09	-	 < 0.01	1.00E00	2.00E00	0	.10	-	 < 0.01	1.00E00	1.27E00
condensed nuclear chromosome, centromeric region (GO:0000780)	13	0	.29	-	 < 0.01	1.00E00	1.61E00	0	.32	-	 < 0.01	1.00E00	1.55E00
condensed chromosome, centromeric region (GO:0000779)	7	0	.15	-	 < 0.01	1.00E00	1.08E00	0	.17	-	 < 0.01	1.00E00	1.19E00
GINS complex (GO:0000811)	21	0	.46	-	 < 0.01	1.00E00	1.06E00	0	.52	-	 < 0.01	1.00E00	1.14E00
condensed nuclear chromosome kinetochore (GO:0000778)	9	0	.20	-	 < 0.01	1.00E00	1.45E00	0	.22	-	 < 0.01	1.00E00	1.50E00
condensed chromosome kinetochore (GO:0000777)	5	0	.11	-	 < 0.01	1.00E00	1.24E00	0	.12	-	 < 0.01	1.00E00	1.36E00
preribosome, small subunit precursor (GO:0030688)	8	0	.18	-	 < 0.01	1.00E00	1.65E00	0	.20	-	 < 0.01	1.00E00	1.81E00
U12-type spliceosomal complex (GO:0005689)	11	0	.24	-	 < 0.01	1.00E00	1.76E00	1	.27	+	3.65	2.56E-01	1.02E00
preribosome, large subunit precursor (GO:0030687)	26	0	.57	-	 < 0.01	1.00E00	1.37E00	0	.65	-	 < 0.01	1.00E00	1.47E00
U6 snRNP (GO:0005688)	29	0	.64	-	 < 0.01	1.00E00	1.03E00	0	.72	-	 < 0.01	1.00E00	1.11E00
90S preribosome (GO:0030686)	34	0	.75	-	 < 0.01	1.00E00	1.07E00	0	.85	-	 < 0.01	1.00E00	1.25E00
nuclear heterochromatin (GO:0005720)	2	0	.04	-	 < 0.01	1.00E00	1.56E00	0	.05	-	 < 0.01	1.00E00	1.03E00
U4 snRNP (GO:0005687)	23	0	.51	-	 < 0.01	1.00E00	1.16E00	0	.57	-	 < 0.01	1.00E00	1.13E00
U2 snRNP (GO:0005686)	34	0	.75	-	 < 0.01	1.00E00	1.07E00	1	.85	+	1.18	5.78E-01	1.51E00
preribosome (GO:0030684)	76	0	1.67	-	 < 0.01	4.16E-01	1.19E00	0	1.90	-	 < 0.01	2.67E-01	1.05E00
U1 snRNP (GO:0005685)	23	0	.51	-	 < 0.01	1.00E00	1.15E00	0	.57	-	 < 0.01	1.00E00	1.13E00
anchored component of plasma membrane (GO:0046658)	2	0	.04	-	 < 0.01	1.00E00	1.55E00	0	.05	-	 < 0.01	1.00E00	1.03E00
small-subunit processome (GO:0032040)	35	0	.77	-	 < 0.01	1.00E00	1.21E00	0	.87	-	 < 0.01	1.00E00	1.23E00
U2-type spliceosomal complex (GO:0005684)	30	0	.66	-	 < 0.01	1.00E00	1.00E00	0	.75	-	 < 0.01	1.00E00	1.33E00
U5 snRNP (GO:0005682)	58	0	1.28	-	 < 0.01	6.39E-01	1.53E00	1	1.45	-	.69	1.00E00	2.10E00
spliceosomal complex (GO:0005681)	81	0	1.78	-	 < 0.01	4.25E-01	1.21E00	1	2.02	-	.50	7.25E-01	1.67E00
anaphase-promoting complex (GO:0005680)	8	0	.18	-	 < 0.01	1.00E00	1.65E00	1	.20	+	5.01	1.99E-01	8.82E-01
dynein complex (GO:0030286)	54	0	1.19	-	 < 0.01	6.33E-01	1.53E00	1	1.35	-	.74	1.00E00	2.12E00
endoplasmic reticulum exit site (GO:0070971)	12	0	.26	-	 < 0.01	1.00E00	1.28E00	0	.30	-	 < 0.01	1.00E00	1.59E00
sarcolemma (GO:0042383)	20	0	.44	-	 < 0.01	1.00E00	1.49E00	2	.50	+	4.01	9.92E-02	5.49E-01
extrinsic component of membrane (GO:0019898)	45	0	.99	-	 < 0.01	1.00E00	1.98E00	0	1.12	-	 < 0.01	6.29E-01	1.58E00
origin recognition complex (GO:0000808)	28	0	.62	-	 < 0.01	1.00E00	1.72E00	0	.70	-	 < 0.01	1.00E00	1.64E00
ER to Golgi transport vesicle membrane (GO:0012507)	15	0	.33	-	 < 0.01	1.00E00	1.01E00	0	.37	-	 < 0.01	1.00E00	1.17E00
vesicle membrane (GO:0012506)	3	0	.07	-	 < 0.01	1.00E00	1.31E00	0	.07	-	 < 0.01	1.00E00	1.06E00
phagophore assembly site (GO:0000407)	23	0	.51	-	 < 0.01	1.00E00	1.15E00	0	.57	-	 < 0.01	1.00E00	1.13E00
ribonuclease P complex (GO:0030677)	5	0	.11	-	 < 0.01	1.00E00	1.23E00	0	.12	-	 < 0.01	1.00E00	1.36E00
mitotic spindle (GO:0072686)	10	0	.22	-	 < 0.01	1.00E00	1.85E00	1	.25	+	4.01	2.37E-01	9.85E-01
holo TFIIH complex (GO:0005675)	8	0	.18	-	 < 0.01	1.00E00	1.64E00	0	.20	-	 < 0.01	1.00E00	1.80E00
external encapsulating structure (GO:0030312)	1	0	.02	-	 < 0.01	1.00E00	1.11E00	0	.02	-	 < 0.01	1.00E00	1.02E00
